
dataset1	dataset2	genre_overlap	formality_overlap	genreoverlap_news	genreoverlap_political	genreoverlap_science	genreoverlap_academic	genreoverlap_fiction	genreoverlap_chats
deu.rst.pcc	deu.rst.pcc	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
deu.rst.pcc	eng.pdtb.pdtb	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
deu.rst.pcc	eng.rst.gum	1.0	1.0	7.706699	0.0	0.0	0.0	0.0	0.0
deu.rst.pcc	eng.rst.rstdt	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
deu.rst.pcc	eng.sdrt.stac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
deu.rst.pcc	fas.rst.prstc	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
deu.rst.pcc	fra.sdrt.annodis	1.0	2.0	39.633867	0.0	0.0	0.0	0.0	0.0
deu.rst.pcc	nld.rst.nldt	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
deu.rst.pcc	por.rst.cstn	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
deu.rst.pcc	rus.rst.rrt	1.0	2.0	33.817917	0.0	0.0	0.0	0.0	0.0
deu.rst.pcc	spa.rst.rststb	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
deu.rst.pcc	spa.rst.sctb	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
deu.rst.pcc	tur.pdtb.tdb	0.0	2.0	33.33	0.0	0.0	0.0	0.0	0.0
deu.rst.pcc	zho.rst.sctb	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
eng.pdtb.pdtb	deu.rst.pcc	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
eng.pdtb.pdtb	eng.pdtb.pdtb	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
eng.pdtb.pdtb	eng.rst.gum	1.0	1.0	7.706699	0.0	0.0	0.0	0.0	0.0
eng.pdtb.pdtb	eng.rst.rstdt	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
eng.pdtb.pdtb	eng.sdrt.stac	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eng.pdtb.pdtb	fas.rst.prstc	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
eng.pdtb.pdtb	fra.sdrt.annodis	1.0	2.0	39.633867	0.0	0.0	0.0	0.0	0.0
eng.pdtb.pdtb	nld.rst.nldt	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
eng.pdtb.pdtb	por.rst.cstn	2.0	2.0	100	0.0	0.0	0.0	0.0	0.0
eng.pdtb.pdtb	rus.rst.rrt	1.0	2.0	33.817917	0.0	0.0	0.0	0.0	0.0
eng.pdtb.pdtb	spa.rst.rststb	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
eng.pdtb.pdtb	spa.rst.sctb	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
eng.pdtb.pdtb	tur.pdtb.tdb	0.0	2.0	33.33	0.0	0.0	0.0	0.0	0.0
eng.pdtb.pdtb	zho.rst.sctb	1.0	1.0	9.339408	0.0	0.0	0.0	0.0	0.0
eng.rst.gum	deu.rst.pcc	1.0	1.0	7.706699	0.0	0.0	0.0	0.0	0.0
eng.rst.gum	eng.pdtb.pdtb	1.0	1.0	7.706699	0.0	0.0	0.0	0.0	0.0
eng.rst.gum	eng.rst.gum	2.0	2.0	7.706699	13.276247	13.204289	19.953947	12.592646	33.266173
eng.rst.gum	eng.rst.rstdt	1.0	1.0	7.706699	0.0	0.0	0.0	0.0	0.0
eng.rst.gum	eng.sdrt.stac	1.0	1.0	0.0	0.0	0.0	0.0	0.0	33.266173
eng.rst.gum	fas.rst.prstc	1.0	1.0	7.706699	0.0	0.0	0.0	0.0	0.0
eng.rst.gum	fra.sdrt.annodis	1.0	1.0	7.706699	1.87643	0.0	19.953947	0.0	0.0
eng.rst.gum	nld.rst.nldt	1.0	2.0	0.0	0.0	13.204289	0.0	0.0	0.0
