
dataset1	dataset2	phonological	syntactic	geographic	genetic	inventory	featural
deu.rst.pcc	deu.rst.pcc	0.0	0.0	0.0	0.0	0.0	0.0
deu.rst.pcc	eng.pdtb.pdtb	0.3277	0.42	0.1	0.4286	0.4364	0.4
deu.rst.pcc	eng.rst.gum	0.3277	0.42	0.1	0.4286	0.4364	0.4
deu.rst.pcc	eng.rst.rstdt	0.3277	0.42	0.1	0.4286	0.4364	0.4
deu.rst.pcc	eng.sdrt.stac	0.3277	0.42	0.1	0.4286	0.4364	0.4
deu.rst.pcc	fas.rst.prstc	0.5456	0.89	0.5	1.0	0.596	0.7
deu.rst.pcc	fra.sdrt.annodis	0.2617	0.46	0.0	0.8571	0.3886	0.4
deu.rst.pcc	nld.rst.nldt	0.5456	0.35	0.0	0.2857	0.3086	0.4
deu.rst.pcc	por.rst.cstn	0.5456	0.53	0.1	0.8571	0.4343	0.5
deu.rst.pcc	rus.rst.rrt	0.3333	0.42	0.2	0.8571	0.5184	0.5
deu.rst.pcc	spa.rst.rststb	0.4788	0.5	0.1	0.8571	0.6393	0.6
deu.rst.pcc	spa.rst.sctb	0.4788	0.5	0.1	0.8571	0.6393	0.6
deu.rst.pcc	tur.pdtb.tdb	0.2677	0.64	0.1	1.0	0.418	0.5
deu.rst.pcc	zho.rst.sctb	0.5456	0.58	1.0	1.0	0.6153	0.6
eng.pdtb.pdtb	deu.rst.pcc	0.3277	0.42	0.1	0.4286	0.4364	0.4
eng.pdtb.pdtb	eng.pdtb.pdtb	0.0002	0.0	0.0	0.0	0.0	0.0
eng.pdtb.pdtb	eng.rst.gum	0.0002	0.0	0.0	0.0	0.0	0.0
eng.pdtb.pdtb	eng.rst.rstdt	0.0002	0.0	0.0	0.0	0.0	0.0
eng.pdtb.pdtb	eng.sdrt.stac	0.0002	0.0	0.0	0.0	0.0	0.0
eng.pdtb.pdtb	fas.rst.prstc	0.5687	0.9	0.5	1.0	0.572	0.7
eng.pdtb.pdtb	fra.sdrt.annodis	0.427	0.46	0.0	0.9	0.4753	0.5
eng.pdtb.pdtb	nld.rst.nldt	0.5687	0.49	0.0	0.6	0.4861	0.5
eng.pdtb.pdtb	por.rst.cstn	0.5687	0.47	0.1	0.9	0.4235	0.5
eng.pdtb.pdtb	rus.rst.rrt	0.2804	0.49	0.2	0.9	0.5594	0.5
eng.pdtb.pdtb	spa.rst.rststb	0.3433	0.4	0.1	0.9	0.5481	0.5
eng.pdtb.pdtb	spa.rst.sctb	0.3433	0.4	0.1	0.9	0.5481	0.5
eng.pdtb.pdtb	tur.pdtb.tdb	0.3433	0.7	0.1	1.0	0.5183	0.6
eng.pdtb.pdtb	zho.rst.sctb	0.5687	0.57	1.0	1.0	0.5983	0.6
eng.rst.gum	deu.rst.pcc	0.3277	0.42	0.1	0.4286	0.4364	0.4
eng.rst.gum	eng.pdtb.pdtb	0.0002	0.0	0.0	0.0	0.0	0.0
eng.rst.gum	eng.rst.gum	0.0002	0.0	0.0	0.0	0.0	0.0
eng.rst.gum	eng.rst.rstdt	0.0002	0.0	0.0	0.0	0.0	0.0
eng.rst.gum	eng.sdrt.stac	0.0002	0.0	0.0	0.0	0.0	0.0
eng.rst.gum	fas.rst.prstc	0.5687	0.9	0.5	1.0	0.572	0.7
eng.rst.gum	fra.sdrt.annodis	0.427	0.46	0.0	0.9	0.4753	0.5
eng.rst.gum	nld.rst.nldt	0.5687	0.49	0.0	0.6	0.4861	0.5
eng.rst.gum	por.rst.cstn	0.5687	0.47	0.1	0.9	0.4235	0.5
eng.rst.gum	rus.rst.rrt	0.2804	0.49	0.2	0.9	0.5594	0.5
eng.rst.gum	spa.rst.rststb	0.3433	0.4	0.1	0.9	0.5481	0.5
eng.rst.gum	spa.rst.sctb	0.3433	0.4	0.1	0.9	0.5481	0.5
eng.rst.gum	tur.pdtb.tdb	0.3433	0.7	0.1	1.0	0.5183	0.6
eng.rst.gum	zho.rst.sctb	0.5687	0.57	1.0	1.0	0.5983	0.6
eng.rst.rstdt	deu.rst.pcc	0.3277	0.42	0.1	0.4286	0.4364	0.4
eng.rst.rstdt	eng.pdtb.pdtb	0.0002	0.0	0.0	0.0	0.0	0.0
eng.rst.rstdt	eng.rst.gum	0.0002	0.0	0.0	0.0	0.0	0.0
eng.rst.rstdt	eng.rst.rstdt	0.0002	0.0	0.0	0.0	0.0	0.0
eng.rst.rstdt	eng.sdrt.stac	0.0002	0.0	0.0	0.0	0.0	0.0
eng.rst.rstdt	fas.rst.prstc	0.5687	0.9	0.5	1.0	0.572	0.7
eng.rst.rstdt	fra.sdrt.annodis	0.427	0.46	0.0	0.9	0.4753	0.5
eng.rst.rstdt	nld.rst.nldt	0.5687	0.49	0.0	0.6	0.4861	0.5
eng.rst.rstdt	por.rst.cstn	0.5687	0.47	0.1	0.9	0.4235	0.5
eng.rst.rstdt	rus.rst.rrt	0.2804	0.49	0.2	0.9	0.5594	0.5
eng.rst.rstdt	spa.rst.rststb	0.3433	0.4	0.1	0.9	0.5481	0.5
eng.rst.rstdt	spa.rst.sctb	0.3433	0.4	0.1	0.9	0.5481	0.5
eng.rst.rstdt	tur.pdtb.tdb	0.3433	0.7	0.1	1.0	0.5183	0.6
eng.rst.rstdt	zho.rst.sctb	0.5687	0.57	1.0	1.0	0.5983	0.6
eng.sdrt.stac	deu.rst.pcc	0.3277	0.42	0.1	0.4286	0.4364	0.4
eng.sdrt.stac	eng.pdtb.pdtb	0.0002	0.0	0.0	0.0	0.0	0.0
eng.sdrt.stac	eng.rst.gum	0.0002	0.0	0.0	0.0	0.0	0.0
eng.sdrt.stac	eng.rst.rstdt	0.0002	0.0	0.0	0.0	0.0	0.0
eng.sdrt.stac	eng.sdrt.stac	0.0002	0.0	0.0	0.0	0.0	0.0
eng.sdrt.stac	fas.rst.prstc	0.5687	0.9	0.5	1.0	0.572	0.7
eng.sdrt.stac	fra.sdrt.annodis	0.427	0.46	0.0	0.9	0.4753	0.5
eng.sdrt.stac	nld.rst.nldt	0.5687	0.49	0.0	0.6	0.4861	0.5
eng.sdrt.stac	por.rst.cstn	0.5687	0.47	0.1	0.9	0.4235	0.5
eng.sdrt.stac	rus.rst.rrt	0.2804	0.49	0.2	0.9	0.5594	0.5
eng.sdrt.stac	spa.rst.rststb	0.3433	0.4	0.1	0.9	0.5481	0.5
eng.sdrt.stac	spa.rst.sctb	0.3433	0.4	0.1	0.9	0.5481	0.5
eng.sdrt.stac	tur.pdtb.tdb	0.3433	0.7	0.1	1.0	0.5183	0.6
eng.sdrt.stac	zho.rst.sctb	0.5687	0.57	1.0	1.0	0.5983	0.6
fas.rst.prstc	deu.rst.pcc	0.5456	0.89	0.5	1.0	0.596	0.7
fas.rst.prstc	eng.pdtb.pdtb	0.5687	0.9	0.5	1.0	0.572	0.7
fas.rst.prstc	eng.rst.gum	0.5687	0.9	0.5	1.0	0.572	0.7
fas.rst.prstc	eng.rst.rstdt	0.5687	0.9	0.5	1.0	0.572	0.7
fas.rst.prstc	eng.sdrt.stac	0.5687	0.9	0.5	1.0	0.572	0.7
fas.rst.prstc	fas.rst.prstc	0.0002	0.0	0.0	0.0	0.0	0.0
fas.rst.prstc	fra.sdrt.annodis	0.5456	0.9	0.5	1.0	0.5673	0.7
fas.rst.prstc	nld.rst.nldt	0.0002	0.88	0.5	1.0	0.5625	0.7
fas.rst.prstc	por.rst.cstn	0.0002	0.83	0.5	1.0	0.5048	0.6
fas.rst.prstc	rus.rst.rrt	0.6162	0.85	0.7	1.0	0.627	0.7
fas.rst.prstc	spa.rst.rststb	0.5922	0.85	0.5	1.0	0.5013	0.7
fas.rst.prstc	spa.rst.sctb	0.5922	0.85	0.5	1.0	0.5013	0.7
fas.rst.prstc	tur.pdtb.tdb	0.5922	0.8	0.6	1.0	0.5913	0.7
fas.rst.prstc	zho.rst.sctb	0.0002	0.87	1.0	1.0	0.7287	0.8
fra.sdrt.annodis	deu.rst.pcc	0.2617	0.46	0.0	0.8571	0.3886	0.4
fra.sdrt.annodis	eng.pdtb.pdtb	0.427	0.46	0.0	0.9	0.4753	0.5
fra.sdrt.annodis	eng.rst.gum	0.427	0.46	0.0	0.9	0.4753	0.5
fra.sdrt.annodis	eng.rst.rstdt	0.427	0.46	0.0	0.9	0.4753	0.5
fra.sdrt.annodis	eng.sdrt.stac	0.427	0.46	0.0	0.9	0.4753	0.5
fra.sdrt.annodis	fas.rst.prstc	0.5456	0.9	0.5	1.0	0.5673	0.7
fra.sdrt.annodis	fra.sdrt.annodis	0.0	0.0	0.0	0.0	0.0	0.0
fra.sdrt.annodis	nld.rst.nldt	0.5456	0.51	0.0	0.9375	0.3411	0.5
fra.sdrt.annodis	por.rst.cstn	0.5456	0.46	0.0	0.4375	0.3947	0.5
fra.sdrt.annodis	rus.rst.rrt	0.3333	0.51	0.2	0.9375	0.5152	0.5
fra.sdrt.annodis	spa.rst.rststb	0.4788	0.41	0.0	0.4375	0.5804	0.5
fra.sdrt.annodis	spa.rst.sctb	0.4788	0.41	0.0	0.4375	0.5804	0.5
fra.sdrt.annodis	tur.pdtb.tdb	0.2677	0.68	0.1	1.0	0.4955	0.6
