Run	Dataset1	Dataset2	Phonological	Syntactic	Geographic	Genetic	Inventory	Featural	Entropy_pretrain_train	Entropy_pretrain_test	Entropy_pretrain_dev	Pretrain Training set size	Finetune Training set size	Total Size	KL_train	KL_test	KL_dev	UniqueLabels_finetune_test	UniqueLabels_pretrain_test	Formalism	Genre overlap	Formality overlap	genreoverlap_news	genreoverlap_political	genreoverlap_science	genreoverlap_academic	genreoverlap_fiction	genreoverlap_chats	Model Percentage Gain	Model gains	Model absolute
0	deu.rst.pcc	deu.rst.pcc	0.0	0.0	0.0	0.0	0.0	0.0	7.46	5.33	5.26	2164.0	2164.0	4328.0	0.0	0.0	0.0	24.0	24.0	1.0	2.0	2.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.769230769230768
0	deu.rst.pcc	eng.pdtb.pdtb	0.33	0.42	0.1	0.43	0.44	0.4	7.46	5.33	5.26	2164.0	43920.0	46084.0	12.35564	12.502094	12.422505	23.0	24.0	0.0	2.0	2.0	100.0	0.0	0.0	0.0	0.0	0.0	2.92553191489361	1.9494904740806334	68.58661940629153
0	deu.rst.pcc	eng.rst.gum	0.33	0.42	0.1	0.43	0.44	0.4	7.46	5.33	5.26	2164.0	13897.0	16061.0	5.017651	5.508749	4.865336	23.0	24.0	1.0	1.0	1.0	7.71	0.0	0.0	0.0	0.0	0.0	2.329749103942664	1.2434241989478778	54.61501673840268
0	deu.rst.pcc	eng.rst.rstdt	0.33	0.42	0.1	0.43	0.44	0.4	7.46	5.33	5.26	2164.0	16002.0	18166.0	7.966596	8.719194	7.917346	17.0	24.0	1.0	2.0	2.0	100.0	0.0	0.0	0.0	0.0	0.0	1.9461077844311458	1.2064965197215827	63.20185614849188
0	deu.rst.pcc	eng.sdrt.stac	0.33	0.42	0.1	0.43	0.44	0.4	7.46	5.33	5.26	2164.0	9580.0	11744.0	12.35605	12.502545	12.422759	16.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.060240963855412	6.622516556291387	50.59602649006622
0	deu.rst.pcc	fas.rst.prstc	0.55	0.89	0.5	1.0	0.6	0.7	7.46	5.33	5.26	2164.0	4100.0	6264.0	7.830429	8.604196	7.751469	16.0	24.0	1.0	2.0	2.0	100.0	0.0	0.0	0.0	0.0	0.0	11.500000000000005	3.885135135135137	37.66891891891892
0	deu.rst.pcc	fra.sdrt.annodis	0.26	0.46	0.0	0.86	0.39	0.4	7.46	5.33	5.26	2164.0	2185.0	4349.0	10.09242	10.767874	9.573659	18.0	24.0	0.0	1.0	2.0	39.63	0.0	0.0	0.0	0.0	0.0	15.533980582524284	5.1200000000000045	38.080000000000005
0	deu.rst.pcc	nld.rst.nldt	0.55	0.35	0.0	0.29	0.31	0.4	7.46	5.33	5.26	2164.0	1608.0	3772.0	3.442879	4.217198	4.017865	29.0	24.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.629629629629632	1.5337423312883445	34.66257668711656
0	deu.rst.pcc	por.rst.cstn	0.55	0.53	0.1	0.86	0.43	0.5	7.46	5.33	5.26	2164.0	4148.0	6312.0	5.394577	7.511707	6.756538	21.0	24.0	1.0	2.0	2.0	100.0	0.0	0.0	0.0	0.0	0.0	4.374999999999995	2.573529411764703	61.39705882352941
0	deu.rst.pcc	rus.rst.rrt	0.33	0.42	0.2	0.86	0.52	0.5	7.46	5.33	5.26	2164.0	28822.0	30986.0	5.919591	6.569988	5.869725	20.0	24.0	1.0	1.0	2.0	33.82	0.0	0.0	0.0	0.0	0.0	0.667880995749829	0.3869152303904215	58.318677453394294
