learning epoch:  1 ...
preds:  ['Expansion.Instantiation.', 'Temporal.Asynchronous', 'Contingency.Condition', 'Temporal.Asynchronous', 'Repetition', 'Temporal. Asynchronous', 'Comparison.Contrast', 'Contusionance.Construction.Construction.Construction.Construction.Construction.', 'Contingency.', 'Contingency.', 'Repetition', 'Repetition is a repetition for a remittance.', 'Comparison.', 'Comparison.', 'Contingency.', 'Comparison.Contribution']  | target:  ['Expansion.Instantiation', 'Temporal.Asynchronous', 'Contingency.Condition', 'Temporal.Asynchronous', 'Repetition', 'Temporal.Asynchronous', 'Comparison.Contrast', 'Contingency.Condition', 'Contingency.Cause', 'Contingency.Condition', 'Repetition', 'Repetition', 'Comparison.Concession', 'Comparison.Concession', 'Contingency.Condition', 'Comparison.Concession']
preds:  ['Contingency.', 'Expansion. Conjunction', 'Expansion. Conjunction', 'The motion for a vote on the motion for a resolution on the motion for a resolution on the motion for', 'Contingency.Goal', 'Interrupted', 'Interrupted', 'Inference Comparison.Concession.', 'Interrupted', 'Contingency.', 'Expansion.', 'Contingency.Cause', 'Contingency.Cause.', 'Expansion.Conjunction', 'Expansion.Conjunction', '           ']  | target:  ['Contingency.Condition', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Repetition', 'Contingency.Goal', 'Interrupted', 'Interrupted', 'Comparison.Concession', 'Interrupted', 'Contingency.Condition', 'Expansion.Restatement', 'Contingency.Cause', 'Contingency.Cause', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Comparison.Contrast']
preds:  ['Comparison.Concession', 'Contingency.Cause', 'Repetition:          ', 'Expansion. Revision.', 'Temporary.Astizer.Astrial.Astrial.Astrial.', 'Temporal.Asynchronous', 'Contingency.', 'Temporal.Asynchronous', 'Contingency.Cause', 'Repetition is a resurgence in the United States.', 'Contingency.Cause', 'Contingency.Cause', 'Contingency. Conformity.', 'Expansion.Restatement', 'Expansion.Relietement', 'Contingency.']  | target:  ['Comparison.Concession', 'Contingency.Cause', 'Repetition', 'Expansion.Restatement', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Contingency.Condition', 'Temporal.Asynchronous', 'Contingency.Cause', 'Repetition', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Condition', 'Expansion.Restatement', 'Expansion.Restatement', 'Contingency.Goal']
preds:  ['Contingency.', 'Comparison.Contribution.com', 'Temporal.Asynchronous', 'Comparison.Conference.Conference.Conference.Conclusion.Conference.Con', '           ', 'Temporal.Assembly.', 'Expansion.Conjunction', 'Expansion. Restatement', 'Temporal.Synchrony', 'Tempral. Asynchronous.', 'Contendingency.', 'Comparison.Concession.', 'Comparison.Convention.Convention.Convention.Convention.Convention.Convention.Convention.Con', 'obstructing obstructing obstructing obstructing obstruct', 'Repetition is a statement by the President of the United States of America on behalf of the United States of America', 'Expansion.Conjunction.']  | target:  ['Contingency.Cause', 'Comparison.Concession', 'Temporal.Asynchronous', 'Comparison.Concession', 'Contingency.Goal', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Expansion.Restatement', 'Temporal.Synchrony', 'Temporal.Asynchronous', 'Contingency.Goal', 'Comparison.Concession', 'Comparison.Concession', 'Contingency.Cause', 'Repetition', 'Expansion.Conjunction']
preds:  ['Comparison of... Comparison of.......', 'Comparison.Conction.', 'Comparison.Constitution.com Comparison.Constitution.com Comparison.com Comparison.com Comparison.com Comparison.com', 'Contingency.Condition', "'Repetition' is a song of the 'Repetition' series.", 'Contingency.Cause', 'Expansion.Consiction', 'Contingency.Cause', 'Expansion.Conjunction', 'Contenency.Case.Case.Case.Case.', 'Contingency.', 'Continction.', 'Containingency.Cause.', 'Expansion. Restorement', 'Repetition: Repetition: Repetition: Repetition: Repetition: Repetition:', 'Temporal.Asynchronous']  | target:  ['Comparison.Concession', 'Comparison.Concession', 'Comparison.Concession', 'Contingency.Condition', 'Repetition', 'Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Cause', 'Expansion.Restatement', 'Repetition', 'Temporal.Asynchronous']
preds:  ['Contingency.Cause', 'Comparison.Concession', 'Interrupted', 'Expansion.', 'Contingency. Contingency.Condition. Contingency. Contingency. Contingency. Cont', 'Comparison.Concession.', 'Comparison.Contribution.', 'Contingency.', 'The debate is a debate. The debate is a debate. The debate is a debate. The debate is', 'a slashing effect a slashing effect a slashing effect a ', 'Expansion.Conjunction.', 'Contingency. Cause', '           ', 'Temporal.Asynchronous.', 'Expansion.Alternalative', 'Contingency.Goal']  | target:  ['Contingency.Cause', 'Comparison.Concession', 'Interrupted', 'Expansion.Conjunction', 'Contingency.Condition', 'Comparison.Concession', 'Comparison.Concession', 'Contingency.Cause', 'Repetition', 'Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Cause', 'Contingency.Cause', 'Temporal.Asynchronous', 'Expansion.Alternative', 'Contingency.Goal']
preds:  ['           ', 'br> /br> /br> /br> ', 'The Repetition', 'Contingency.', 'Contingency.Castle.', 'Repetition is a rewrite of a book that is based on a book of the same', 'Contingency.Goal.', 'Contingency.', 'Expansion.Conjunction', 'Comparison:           ', 'Comparison.Conference.', 'Comparison of Concession', "content is based on a product's content and the product is based on the product's content.", 'temporal.Asynchronous', 'Contingency.Case.Case.', 'Contour.Condition.Condition.Condition.Condition.Condition.Condition.Condition.']  | target:  ['Contingency.Condition', 'Comparison.Concession', 'Repetition', 'Contingency.Cause', 'Contingency.Cause', 'Repetition', 'Contingency.Goal', 'Contingency.Cause', 'Expansion.Conjunction', 'Comparison.Concession', 'Comparison.Concession', 'Comparison.Concession', 'Contingency.Cause', 'Temporal.Asynchronous', 'Contingency.Cause', 'Contingency.Condition']
preds:  ['Temporal.', 'Contenting.Causing.Causing.Causing.Causing.Causing.C', 'Temporal.Asynchronous.', '           ', 'Contingency.Consultation.Consultation.', 'Temporal.Asynchronous', 'Contingency.Cause', 'contingency.', 'Expansion.Conjunction', '           ', 'Comparison.Constratilation.Constratilation.Constratilation.Constrati', 'Comparison.', 'Contingency.Condition.', 'Expansion.Restatement', 'Comparison.', '           ']  | target:  ['Temporal.Asynchronous', 'Contingency.Cause', 'Temporal.Asynchronous', 'Contingency.Goal', 'Contingency.Condition', 'Temporal.Asynchronous', 'Contingency.Cause', 'Contingency.Condition', 'Expansion.Conjunction', 'Temporal.Asynchronous', 'Comparison.Contrast', 'Comparison.Concession', 'Contingency.Condition', 'Expansion.Restatement', 'Comparison.Contrast', 'Contingency.Goal']
preds:  ['Contingency.Cause', 'Contingency. God', 'Repetition', 'Temporal.Ascical.', 'Contingency.Cause', 'Contingency.', '           ', 'Contingency. Contour.', 'Expansion.Restatement.', 'Temporal.Synchrony', "Because it's easy to get a lot of stuff in a bag, but it's easy to get", 'Contingency.', 'Contingency.', 'Comparison.', 'Expansion. Expansion. Instantiation.', 'Comparison.com Comparison.com. Comparison.com.com Comparison.com. Comparison.com.com.com.']  | target:  ['Contingency.Cause', 'Contingency.Goal', 'Repetition', 'Temporal.Asynchronous', 'Contingency.Cause', 'Contingency.Condition', 'Repetition', 'Contingency.Condition', 'Expansion.Restatement', 'Temporal.Synchrony', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Cause', 'Comparison.Concession', 'Expansion.Instantiation', 'Comparison.Concession']
preds:  ['Contingency.Condition.', 'Contingency.Cause.', 'Temporal. Synchrony', 'Because of this, it is a good idea to add a lot of flavor to the dish.', 'Expansion. Retirement', 'Comparison.Contrast', 'Expansion.Conjuration', 'Comparison.', 'Expansion.', '           ', 'Repetition for a ceasefire', 'Expansion.Restatement', 'Comparison.', 'Temporal.Asynchronous.', 'Expansion. Restatement', 'Contingency.Cause']  | target:  ['Contingency.Condition', 'Contingency.Cause', 'Temporal.Synchrony', 'Contingency.Cause', 'Expansion.Restatement', 'Comparison.Contrast', 'Expansion.Conjunction', 'Comparison.Contrast', 'Expansion.Conjunction', 'Comparison.Concession', 'Repetition', 'Expansion.Restatement', 'Comparison.Contrast', 'Temporal.Asynchronous', 'Expansion.Restatement', 'Contingency.Cause']
preds:  ['Expansion. Declarement', 'Contingency.Cause', '           ', 'Contingency.Cause', 'Expansion. Conjunction', 'Expansion. Instantiation', 'a sleep a sleep a sleep a ', 'Expiration. Restatement.', 'Contingency.Case.Case.Case.Case.', 'temporal. asynchronous', 'Contingency.', 'Repetition for a repetition is an attempt at a repetition for a ', 'Contingency.Goal', 'Temporal.Asynchronous.', 'Contingency.Cause', 'Expansion.Restatement']  | target:  ['Expansion.Restatement', 'Contingency.Cause', 'Contingency.Condition', 'Contingency.Cause', 'Expansion.Conjunction', 'Expansion.Instantiation', 'Contingency.Goal', 'Expansion.Restatement', 'Contingency.Cause', 'Temporal.Asynchronous', 'Contingency.Goal', 'Repetition', 'Contingency.Goal', 'Temporal.Asynchronous', 'Contingency.Cause', 'Expansion.Restatement']
