learning epoch:  1 ...
preds:  ['e', 'e', 'progression of', '-', 'joint ', 'enablement', 'e', 'e', 'enablement', 'is ', 'e', 'joint venture', 'e', 'b', 'b', 'e']  | target:  ['elab-addition', 'elab-addition', 'progression', 'manner-means', 'joint', 'enablement', 'elab-addition', 'elab-addition', 'enablement', 'attribution', 'elab-addition', 'joint', 'elab-addition', 'bg-general', 'bg-general', 'elab-addition']
preds:  ['b', 'b', 'b', 'joint ', 'evaluation', 'e', 'e', 'enablement', 'a', 'a', 'e', 'enablement', 'e', 'joint ', 'enablement', 'joint-']  | target:  ['bg-general', 'bg-general', 'bg-general', 'joint', 'evaluation', 'elab-addition', 'elab-addition', 'enablement', 'progression', 'attribution', 'elab-enumember', 'enablement', 'elab-addition', 'joint', 'enablement', 'joint']
preds:  ['-', 'is ', 'enables', 'attribution', 'a', 'joint-', 'e', '-', 'e', 'e', 'b', 'Joint Joint', 'e', 'a', 'enablement', 'e']  | target:  ['bg-general', 'attribution', 'enablement', 'attribution', 'contrast', 'joint', 'elab-addition', 'joint', 'elab-addition', 'elab-addition', 'bg-general', 'joint', 'elab-process_step', 'evaluation', 'enablement', 'elab-addition']
preds:  ['e', '', 'joint is', 'to enable', 'e', 'e', 'b', 'exp-', 'joint venture', 'a', 'e', 'joint project', 'e', 'comparison', 'b', 'e']  | target:  ['elab-addition', 'joint', 'joint', 'enablement', 'elab-addition', 'elab-addition', 'bg-general', 'exp-reason', 'joint', 'evaluation', 'elab-addition', 'joint', 'elab-addition', 'comparison', 'bg-general', 'elab-addition']
preds:  ['e', 'a', 'b', 'contrasts', ',', 'b', 'compared', 'enablement', 'b', 'is ', 'e', 'a', 'enablement', 'b', 'e', 'e']  | target:  ['elab-addition', 'evaluation', 'bg-general', 'contrast', 'contrast', 'bg-general', 'comparison', 'enablement', 'bg-goal', 'attribution', 'elab-addition', 'evaluation', 'enablement', 'bg-general', 'elab-addition', 'elab-process_step']
preds:  ['e', 'b', 'is ', 'e', 'e', 'e', 'e', 'enablement', 'b', 'is the', 'joint venture', 'b', 'comparing', 'joints are', 'a', 'vulnerability vulnerability']  | target:  ['elab-addition', 'bg-general', 'attribution', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'enablement', 'bg-general', 'attribution', 'joint', 'bg-general', 'comparison', 'joint', 'attribution', 'enablement']
preds:  ['b', 'e', 'e', 'e', 'is ', ',', 'e', 'e', 'a', 'to the', 'a', 'e', 'evaluation of', 'b', 'e', 'b']  | target:  ['bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'attribution', 'joint', 'elab-addition', 'elab-addition', 'attribution', 'enablement', 'attribution', 'elab-enumember', 'evaluation', 'bg-general', 'elab-addition', 'bg-general']
preds:  ['enablement', 'enablement', 'e', 'enablement', 'joint and', 'e', 'e', 'evaluation of', 'e', 'e', 'e', 'e', 'a', 'b', 'comparison between', 'e']  | target:  ['enablement', 'enablement', 'elab-addition', 'enablement', 'joint', 'elab-addition', 'elab-addition', 'evaluation', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'enablement', 'bg-general', 'comparison', 'elab-addition']
preds:  ['attribution', 'e', 'comparison to', 'b', 'enablement', 'e', 'e', 'e', '', 'e', 'b', 'joint venture', 'a', 'progression', 'b', '-']  | target:  ['attribution', 'elab-addition', 'comparison', 'bg-general', 'enablement', 'elab-addition', 'elab-addition', 'elab-addition', 'attribution', 'elab-enumember', 'bg-general', 'joint', 'joint', 'progression', 'bg-general', 'joint']
preds:  ['evaluating', 'e', 'b', 'e', 'evaluation of', 'joint venture', 'joint and', 'temporal', 'e', 'a', 'e', 'e', 'joint venture', 'joint', 'b', 'e']  | target:  ['evaluation', 'elab-addition', 'bg-goal', 'elab-addition', 'evaluation', 'joint', 'joint', 'temporal', 'elab-addition', 'attribution', 'elab-addition', 'elab-addition', 'joint', 'joint', 'bg-compare', 'elab-addition']
preds:  ['evaluations', 'e', 'manner-', 'joint on', 'results in', 'e', 'b', 'manner-', 'result:', 'e', 'results', 'e', 'a', 'manner-', 'e', 'enable the']  | target:  ['evaluation', 'elab-addition', 'manner-means', 'joint', 'result', 'elab-addition', 'bg-general', 'manner-means', 'result', 'elab-addition', 'result', 'elab-addition', 'attribution', 'manner-means', 'elab-addition', 'enablement']
preds:  ['is ', 'co-', 'joint venture', 'joint joint', 'e', 'joint joint', 'joint-', 'b', 'e', 'exp-', 'b', 'evaluation ', 'e', 'e', 'e', 'Joint Venture']  | target:  ['attribution', 'joint', 'joint', 'joint', 'elab-addition', 'joint', 'joint', 'bg-general', 'joint', 'exp-reason', 'bg-general', 'evaluation', 'elab-addition', 'elab-addition', 'elab-addition', 'joint']
preds:  ['e', 'e', 'e', 'e', 'joint joint', 'e', 'e', 'e', 'evaluation of', 'e', 'b', 'e', 'e', 'is ', 'b', 'e']  | target:  ['elab-enumember', 'elab-addition', 'elab-addition', 'elab-addition', 'joint', 'elab-addition', 'elab-addition', 'elab-addition', 'evaluation', 'elab-addition', 'bg-general', 'elab-addition', 'elab-addition', 'attribution', 'bg-general', 'elab-addition']
preds:  ['e', 'e', 'joint', 'e', 'e', 'manner-', 'e', 'joint', 'e', 'the result', 'e', 'a', 'o', 'is ', 'e', 'b']  | target:  ['elab-addition', 'elab-addition', 'joint', 'elab-process_step', 'elab-addition', 'manner-means', 'elab-addition', 'joint', 'elab-addition', 'result', 'elab-addition', 'evaluation', 'joint', 'attribution', 'elab-addition', 'bg-goal']
preds:  ['b', 'b', 'evaluation', 'evaluation', 'e', 'e', 'e', 'evaluation of', 'e', 'e', 'b', 'b', 'enablement', 'joint is', 'e', 'b']  | target:  ['bg-general', 'bg-goal', 'evaluation', 'evaluation', 'elab-addition', 'elab-aspect', 'elab-addition', 'evaluation', 'elab-addition', 'elab-addition', 'bg-general', 'bg-general', 'enablement', 'joint', 'elab-addition', 'bg-general']
preds:  ['e', '', 'co-', 'a', 'joint venture', 'e', 'enables', 'joint ', 'e', 'e', 'enablement', 'b', 'joint is', 'e', 'e', 'joint joint']  | target:  ['elab-addition', 'joint', 'joint', 'manner-means', 'joint', 'elab-addition', 'enablement', 'joint', 'elab-enumember', 'elab-addition', 'enablement', 'bg-general', 'joint', 'elab-enumember', 'elab-addition', 'joint']
preds:  ['(4)', 'e', 'a', 'e', 'enablement', 'a', '-', 'joint venture', 'b', 'temporal', 'no ', 'b', 'enablement', 'enablement', 'enablement', 'a']  | target:  ['enablement', 'elab-addition', 'joint', 'elab-addition', 'enablement', 'enablement', 'bg-goal', 'joint', 'bg-general', 'temporal', 'attribution', 'bg-general', 'enablement', 'enablement', 'enablement', 'manner-means']
preds:  ['enablement', 'e', 'to enable', '', 'e', 'e', 'evaluations', 'b', 'e', 'joint venture', 'i', 'enablement', 'joint venture', 'e', 'enablement', 'a']  | target:  ['enablement', 'elab-addition', 'enablement', 'joint', 'elab-addition', 'elab-addition', 'evaluation', 'bg-general', 'elab-addition', 'joint', 'joint', 'enablement', 'joint', 'elab-addition', 'enablement', 'enablement']
preds:  ['enablement', 'e', 'joint ', 'evaluation of', 'enablement', 'b', 'e', 'evaluation of', 'joint joint', 'b', 'a', 'e', 'e', 'a', 'b', 'e']  | target:  ['enablement', 'elab-addition', 'joint', 'evaluation', 'enablement', 'bg-general', 'elab-addition', 'evaluation', 'joint', 'bg-general', 'elab-addition', 'elab-addition', 'elab-enumember', 'enablement', 'bg-general', 'elab-addition']
preds:  ['a', 'e', 'a', 'e', 'joint and', 'comparisons', 'manner-', 'e', 'b', 'enablement', 'joint ', 'e', 'b', 'for ', 'e', 'conect']  | target:  ['joint', 'elab-addition', 'attribution', 'elab-process_step', 'joint', 'comparison', 'manner-means', 'elab-aspect', 'bg-general', 'enablement', 'joint', 'elab-addition', 'bg-general', 'comparison', 'elab-process_step', 'joint']
preds:  ['e', 'e', 'e', '-', 'enablement', 'e', 'e', 'enablement', 'evaluations', 'is ', 'e', 'enablement', 'joint press', 'joint venture', 'evaluation of', 'attribution']  | target:  ['elab-addition', 'elab-addition', 'elab-addition', 'bg-general', 'enablement', 'elab-addition', 'evaluation', 'enablement', 'evaluation', 'attribution', 'elab-addition', 'enablement', 'joint', 'joint', 'evaluation', 'attribution']
preds:  ['a', 'b', 'e', 'b', 'b', 'b', 'b', 'e', 'joint venture', 'enablement', 'exp-', 'joint venture', 'e', '', 'e', 'e']  | target:  ['manner-means', 'bg-general', 'elab-process_step', 'bg-general', 'bg-general', 'bg-goal', 'bg-general', 'elab-addition', 'joint', 'enablement', 'exp-reason', 'joint', 'elab-addition', 'evaluation', 'elab-addition', 'elab-aspect']
preds:  ['e', 'a', '-', 'b', 'e', 'e', 'cos', 'b', ',', 'e', 'evaluations', 'joint ', 'Joint Joint', 'e', 'joint ', 'i']  | target:  ['elab-addition', 'enablement', 'joint', 'bg-general', 'elab-addition', 'elab-process_step', 'joint', 'bg-general', 'contrast', 'elab-addition', 'evaluation', 'joint', 'joint', 'elab-addition', 'joint', 'progression']
