doc	unit1_toks	unit2_toks	unit1_txt	unit2_txt	perplexity_score	original_unit1_txt	original_unit2_txt	sentiment_score_1	sentiment_score_2	sentiment_graded_agreement	sentiment_agreement	s1_toks	s2_toks	unit1_sent	unit2_sent	dir	nuc_children	sat_children	genre	u1_discontinuous	u2_discontinuous	u1_issent	u2_issent	u1_length	u2_length	length_ratio	u1_speaker	u2_speaker	same_speaker	u1_func	u1_pos	u1_depdir	u2_func	u2_pos	u2_depdir	doclen	u1_position	u2_position	percent_distance	distance	lex_overlap_words	lex_overlap_length	unit1_case	unit2_case	label
maz-1818	3-18	19-49	Die innenpolitische Situation in Deutschland hat sich seit den Terroranschlägen in den USA grundlegend gewandelt :	Wohl niemand hätte sich vor dem 11. September vorstellen können , dass die in den 70er Jahren gegen die RAF erprobte und bewährte Rasterfahndung innerhalb kürzester Zeit wieder eingeführt würde -	51.2071590423584	Die innenpolitische Situation in Deutschland hat sich seit den Terroranschlägen in den USA grundlegend gewandelt :	Wohl niemand hätte sich vor dem 11. September vorstellen können , dass die in den 70er Jahren gegen die RAF erprobte und bewährte Rasterfahndung innerhalb kürzester Zeit wieder eingeführt würde -	neutral	neutral	StrongAgree	Agree	3-18	19-61	Die innenpolitische Situation in Deutschland hat sich seit den Terroranschlägen in den USA grundlegend gewandelt :	Wohl niemand hätte sich vor dem 11. September vorstellen können , dass die in den 70er Jahren gegen die RAF erprobte und bewährte Rasterfahndung innerhalb kürzester Zeit wieder eingeführt würde - und dass diese Maßnahme sogar selbst von den Grünen begrüßt wird .	1>2	2	0	news	False	False	True	False	16	31	0.516	none	none	True	root	VVPP	ROOT	root	VVINF	ROOT	153	0.02	0.124	0.105	1	_	0	cap_initial	cap_initial	preparation
maz-10175	25-29	76-90	Nach dem Fall von Masar-i-Scharif	Einige Frauen hätten sich sogar getraut , ohne Schleier auf die Straße zu gehen .	53.84981155395508	Nach dem Fall von Masar-i-Scharif	Einige Frauen hätten sich sogar getraut , ohne Schleier auf die Straße zu gehen .	neutral	neutral	StrongAgree	Agree	25-55	76-90	Nach dem Fall von Masar-i-Scharif sollen sich vor den Friseurläden der Stadt lange Schlangen von Männern gebildet haben , die sich ihre Bärte abrasieren lassen wollten , hieß es gestern .	Einige Frauen hätten sich sogar getraut , ohne Schleier auf die Straße zu gehen .	1<2	4	0	news	False	False	False	True	5	15	0.333	none	none	True	obl	NN	RIGHT	root	VVPP	ROOT	207	0.121	0.367	0.246	5	_	0	title	cap_initial	list
maz-1423	46-57	67-81	Die Einnahmen sind dennoch nur ein Tropfen auf den heißen Stein .	Jetzt wird es darum gehen , die Halle so oft wie möglich zu füllen .	58.84550094604492	Die Einnahmen sind dennoch nur ein Tropfen auf den heißen Stein .	Jetzt wird es darum gehen , die Halle so oft wie möglich zu füllen .	neutral	neutral	StrongAgree	Agree	46-57	67-81	Die Einnahmen sind dennoch nur ein Tropfen auf den heißen Stein .	Jetzt wird es darum gehen , die Halle so oft wie möglich zu füllen .	1>2	6	1	news	False	False	True	True	12	15	0.8	none	none	True	root	NN	ROOT	root	VVINF	ROOT	185	0.249	0.362	0.114	2	_	0	cap_initial	cap_initial	reason
maz-18333	84-92	93-112	In gut zwei Jahren soll alles fertig sein .	Dann sorgt die neue B 101 als Lebensader der Region nicht nur für eine schnelle Anbindung an die Autobahn .	67.97906875610352	In gut zwei Jahren soll alles fertig sein .	Dann sorgt die neue B 101 als Lebensader der Region nicht nur für eine schnelle Anbindung an die Autobahn .	neutral	neutral	StrongAgree	Agree	84-92	93-112	In gut zwei Jahren soll alles fertig sein .	Dann sorgt die neue B 101 als Lebensader der Region nicht nur für eine schnelle Anbindung an die Autobahn .	1>2	4	0	news	False	False	True	True	9	20	0.45	none	none	True	root	ADJD	ROOT	root	VVFIN	ROOT	191	0.44	0.487	0.047	1	_	0	cap_initial	cap_initial	circumstance
maz-14047	60-64	65-81	Es gibt zwei Möglichkeiten :	Entweder das Paracelsus-Krankenhaus bildet einen regionalen Klinikverbund mit der Nauener Havellandklinik unter dem Dach einer kreiseigenen GmbH	69.45661926269531	Es gibt zwei Möglichkeiten :	Entweder das Paracelsus-Krankenhaus bildet einen regionalen Klinikverbund mit der Nauener Havellandklinik unter dem Dach einer kreiseigenen GmbH	positive	neutral	Agree	Disagree	60-64	65-92	Es gibt zwei Möglichkeiten :	Entweder das Paracelsus-Krankenhaus bildet einen regionalen Klinikverbund mit der Nauener Havellandklinik unter dem Dach einer kreiseigenen GmbH oder das Rathenower Krankenhaus wird an einen Freien Träger abgegeben .	1>2	4	0	news	False	False	True	False	5	17	0.294	none	none	True	root	VVFIN	ROOT	root	VVFIN	ROOT	177	0.339	0.367	0.028	1	_	0	cap_initial	cap_initial	preparation
maz-10207	9-28	29-41	Wie schon auf Kreisebene , so bleibt auch an der Verwaltungsspitze der Städte Perleberg und Pritzwalk alles beim Alten .	Die Amtsinhaber sind beide im ersten Wahlgang in ihren Ämtern bestätigt worden -	69.8487491607666	Wie schon auf Kreisebene , so bleibt auch an der Verwaltungsspitze der Städte Perleberg und Pritzwalk alles beim Alten .	Die Amtsinhaber sind beide im ersten Wahlgang in ihren Ämtern bestätigt worden -	neutral	neutral	StrongAgree	Agree	9-28	29-51	Wie schon auf Kreisebene , so bleibt auch an der Verwaltungsspitze der Städte Perleberg und Pritzwalk alles beim Alten .	Die Amtsinhaber sind beide im ersten Wahlgang in ihren Ämtern bestätigt worden - Gratulation an beide dazu natürlich auch von der MAZ .	1>2	3	1	news	False	False	True	False	20	13	1.538	none	none	True	root	VVFIN	ROOT	root	VVPP	ROOT	192	0.047	0.151	0.104	1	_	0	cap_initial	cap_initial	interpretation
maz-11544	144-155	156-171	Ob dies aber mehr als ein Wunschtraum ist , bleibt abzuwarten .	Denn letztlich liegt die Entscheidung über den Erfolg eines Produkts einzig und allein beim Verbraucher .	70.76346969604492	Ob dies aber mehr als ein Wunschtraum ist , bleibt abzuwarten .	Denn letztlich liegt die Entscheidung über den Erfolg eines Produkts einzig und allein beim Verbraucher .	neutral	neutral	StrongAgree	Agree	144-155	156-171	Ob dies aber mehr als ein Wunschtraum ist , bleibt abzuwarten .	Denn letztlich liegt die Entscheidung über den Erfolg eines Produkts einzig und allein beim Verbraucher .	1<2	1	0	news	False	False	True	True	12	16	0.75	none	none	True	root	VVFIN	ROOT	root	VVFIN	ROOT	171	0.842	0.912	0.07	1	_	0	cap_initial	cap_initial	reason
maz-14384	145-161	162-171	Er ist nach wie vor Anziehungspunkt für Spaziergänger , Radler , Läufer und Naturliebhaber jeden Alters -	wenngleich es vielleicht nicht mehr so ist wie früher .	72.99985122680664	Er ist nach wie vor Anziehungspunkt für Spaziergänger , Radler , Läufer und Naturliebhaber jeden Alters -	wenngleich es vielleicht nicht mehr so ist wie früher .	neutral	positive	Agree	Disagree	145-171	145-171	Er ist nach wie vor Anziehungspunkt für Spaziergänger , Radler , Läufer und Naturliebhaber jeden Alters - wenngleich es vielleicht nicht mehr so ist wie früher .	Er ist nach wie vor Anziehungspunkt für Spaziergänger , Radler , Läufer und Naturliebhaber jeden Alters - wenngleich es vielleicht nicht mehr so ist wie früher .	1<2	1	0	news	False	False	False	False	17	10	1.7	none	none	True	root	NN	ROOT	advcl	ADV	LEFT	212	0.684	0.764	0.08	1	_	0	cap_initial	other	concession
maz-12473	17-31	32-53	Schon im zweiten Quartal des laufenden Jahres hat sich die Wirtschaft nicht mehr bewegt .	Auch für das dritte Quartal , dessen Ergebnisse heute vorgestellt werden , ist nicht mit einem Wiederanziehen des Wachstums zu rechnen .	73.76728820800781	Schon im zweiten Quartal des laufenden Jahres hat sich die Wirtschaft nicht mehr bewegt .	Auch für das dritte Quartal , dessen Ergebnisse heute vorgestellt werden , ist nicht mit einem Wiederanziehen des Wachstums zu rechnen .	neutral	neutral	StrongAgree	Agree	17-31	32-53	Schon im zweiten Quartal des laufenden Jahres hat sich die Wirtschaft nicht mehr bewegt .	Auch für das dritte Quartal , dessen Ergebnisse heute vorgestellt werden , ist nicht mit einem Wiederanziehen des Wachstums zu rechnen .	1<2	1	0	news	False	False	True	True	15	22	0.682	none	none	True	root	VVPP	ROOT	root	VVINF	ROOT	153	0.111	0.209	0.098	1	Quartal	1	cap_initial	cap_initial	list
maz-11916	4-29	35-51	Tabak- , Alkohol- , Gewerbe- , Einkommens- , Grund- , Vergnügungs- , Kfz- , Kapitalertrags- und nun ab 1. Januar 2002 auch noch eine Bauabzugssteuer .	wenn es darum geht , seinen Bürgern und Investoren das Geld aus den Taschen zu ziehen .	78.9945297241211	Tabak- , Alkohol- , Gewerbe- , Einkommens- , Grund- , Vergnügungs- , Kfz- , Kapitalertrags- und nun ab 1. Januar 2002 auch noch eine Bauabzugssteuer .	wenn es darum geht , seinen Bürgern und Investoren das Geld aus den Taschen zu ziehen .	neutral	neutral	StrongAgree	Agree	4-29	30-51	Tabak- , Alkohol- , Gewerbe- , Einkommens- , Grund- , Vergnügungs- , Kfz- , Kapitalertrags- und nun ab 1. Januar 2002 auch noch eine Bauabzugssteuer .	Deutschland ist nicht bescheiden , wenn es darum geht , seinen Bürgern und Investoren das Geld aus den Taschen zu ziehen .	1>2	4	0	news	False	False	True	False	26	17	1.529	none	none	True	root	NN	ROOT	advcl	VVFIN	LEFT	198	0.02	0.177	0.157	2	_	0	cap_initial	other	evidence
maz-18333	47-53	54-63	Also kann es nur gut sein ,	wenn die Ortsumgehung so schnell wie möglich fertig wird .	80.24184608459473	Also kann es nur gut sein ,	wenn die Ortsumgehung so schnell wie möglich fertig wird .	positive	neutral	Agree	Disagree	47-63	47-63	Also kann es nur gut sein , wenn die Ortsumgehung so schnell wie möglich fertig wird .	Also kann es nur gut sein , wenn die Ortsumgehung so schnell wie möglich fertig wird .	1<2	2	0	news	False	False	False	False	7	10	0.7	none	none	True	root	ADJD	ROOT	advcl	ADJD	LEFT	191	0.246	0.283	0.037	1	_	0	title	other	condition
maz-18333	64-83	93-112	Auf dem Weg dorthin wurde gestern mit der feierlichen Grundsteinlegung für die Baumaßnahmen zur Ortsumgehung ein wichtiger Meilenstein gelegt .	Dann sorgt die neue B 101 als Lebensader der Region nicht nur für eine schnelle Anbindung an die Autobahn .	80.78522872924805	Auf dem Weg dorthin wurde gestern mit der feierlichen Grundsteinlegung für die Baumaßnahmen zur Ortsumgehung ein wichtiger Meilenstein gelegt .	Dann sorgt die neue B 101 als Lebensader der Region nicht nur für eine schnelle Anbindung an die Autobahn .	neutral	neutral	StrongAgree	Agree	64-83	93-112	Auf dem Weg dorthin wurde gestern mit der feierlichen Grundsteinlegung für die Baumaßnahmen zur Ortsumgehung ein wichtiger Meilenstein gelegt .	Dann sorgt die neue B 101 als Lebensader der Region nicht nur für eine schnelle Anbindung an die Autobahn .	1>2	4	1	news	False	False	True	True	20	20	1.0	none	none	True	root	VVPP	ROOT	root	VVFIN	ROOT	191	0.335	0.487	0.152	2	_	0	cap_initial	cap_initial	background
